"","MekDD_1_1","Aktmyr_1_2","ARPE19_1_3","RasV12_1_4","T53D4_1_5","MekDD_3_1","Aktmyr_3_2","ARPE19_3_3","RasV12_3_4","T53D4_3_5","RasV12_2_4","T53D4_2_5","MekDD_2_1","Aktmyr_2_2","ARPE19_2_3"
"SAMD11",6.62999130498907,7.01297025843671,5.81827427527681,7.15544524249192,5.91254625218768,7.60057478999937,7.43354751836118,5.25558928350514,7.91593322695118,5.85451764207656,6.79077665748044,5.68036444667771,6.28978006758509,7.42770869731807,5.31494615537656
"NOC2L",11.629451224498,11.0777494633092,11.5191245912349,11.9257667096675,11.7990391450505,11.8440310836828,11.7332755453851,12.1233147094744,12.0296009656436,12.0500979476628,12.1095703684812,11.7295151344035,11.7878322581788,11.548665493381,11.7780621435066
"KLHL17",8.86018235673461,8.90813265055884,8.78469807416522,9.14571199744584,8.7793863336506,8.52008529776126,8.20387373284214,8.2713942959188,8.85275027158714,8.55538842024436,8.90033283155254,8.60510054880608,8.67579412073427,8.55718022354922,8.46081745564139
"PLEKHN1",7.78249557729944,6.77879694078246,7.82452886882916,7.95089002260247,7.70965736350733,7.47233771186349,6.98644848690746,7.7276977271416,7.95299895221614,7.56085108910018,8.07847980343584,7.409381390315,7.61886727858716,6.84340194840308,7.59927037122973
"HES4",9.33725918791519,8.93088562145994,9.33544315331893,8.89226092426782,9.83769190260867,9.01542337073101,8.34987591952265,8.66338231676531,8.29592544896466,9.15524565936852,8.60935096874394,9.59000921770231,9.14010188358866,9.0301815449137,8.97849673880706
"ISG15",6.77358448527486,7.21453535595797,7.13359245395112,6.90984629344768,7.23861102414081,7.0223538425533,7.36584493500275,7.33823801242345,7.31567951597986,7.19035893944459,7.20207584623164,7.23286228301868,7.23724277886637,7.69871970534288,7.35384141988623
"C1orf159",8.78047078966046,8.8989995923716,8.8754342056523,8.99112743548558,9.23070870936179,8.54507051311631,8.54086620144483,8.72171409197415,8.69748158962593,8.87456031487334,8.79183734918334,9.08268913685704,8.62454132706176,8.88257693348207,8.75938854332201
"TNFRSF18",1.03896696015806,1.00580498942079,1.17510482787382,1.04552627611561,1.00846473283355,1.0114835428154,1.05172617492106,1.40695638243542,1.01241307812748,1.05757884190977,1.02978370678423,1.07210683230503,1.00494382725812,1.05125038040864,1.15736916914305
"UBE2J2",11.0299975509756,10.9337759605885,11.1540335442502,11.2289837139454,11.4136567464213,10.8545999950452,10.7780888377647,10.9918348133246,10.9812465936503,11.1962833132743,11.1408676254783,11.1489549479508,10.9482772040314,11.0337153988215,11.1333948731184
"PUSL1",8.42896682130635,8.10150835688711,8.20186051455806,8.66541063181414,8.58374145356659,8.65624546789654,8.51446542223562,8.64505149236849,8.82174479578542,8.6981117377414,8.87456199919476,8.59973212529502,8.78004444961857,8.55316164297095,8.56104281043477
"INTS11",11.369008362357,10.9450656446671,11.1194338263921,11.3995453307088,11.3189998699096,11.2147123311834,10.9217244411967,11.0542403749073,11.2175020823834,11.247158804336,11.2905682935421,11.1904956718275,11.3960398689953,11.00681260887,11.0570294023848
"CPTP",9.89623914836437,9.50786707689024,9.78400264400203,9.99747870718469,9.88387259846765,9.98972813721658,9.71984643310718,9.86440079432731,9.94187702987146,9.83819275661423,10.1736314590623,9.69823466191914,10.0759504964848,9.62417808590098,9.82489158738367
"TAS1R3",4.09886606305728,3.74100492404938,3.78382217323189,3.89948074492337,3.802127080646,4.09800233665959,3.86744047562903,3.97336197207518,4.14804654345464,3.87743392356783,3.98651663027717,3.60093377235965,3.91316819053134,3.62774479437434,3.65826983099609
