"","x"
"SAMD11",1
"NOC2L",1
"KLHL17",1
"CPTP",1
"TAS1R3",1
"DVL1",1
"AURKAIP1",1
"RER1",1
"PANK4",1
"C1orf174",1
"ICMT",1
"THAP3",1
"ERRFI1",1
"MIIP",1
"ATP13A2",1
"PADI3",1
"SLC66A1",1
"OTUD3",1
"CAMK2N1",1
"EPHB2",1
"RPL11",1
"PITHD1",1
"GALE",1
"PNRC2",1
"SYF2",1
"LDLRAP1",1
"PDIK1L",1
"CEP85",1
"SH3BGRL3",1
"UBXN11",1
"GPN2",1
"NUDC",1
"GPR3",1
"FAM76A",1
"RPA2",1
"EYA3",1
"SESN2",1
"MED18",1
"TAF12",1
"TMEM200B",1
"SRSF4",1
"PTPRU",1
"LAPTM5",1
"ZCCHC17",1
"COL16A1",1
"IQCC",1
"EIF3I",1
"YARS1",1
"RNF19B",1
"AZIN2",1
"PHC2",1
"CSMD2",1
"C1orf94",1
"ZMYM1",1
"LSM10",1
"MEAF6",1
"GNL2",1
"C1orf109",1
"YRDC",1
"C1orf122",1
"MTF1",1
"SF3A3",1
"UTP11",1
"POU3F1",1
"PABPC4",1
"MYCL",1
"MFSD2A",1
"ZFP69B",1
"HIVEP3",1
"PPCS",1
"TIE1",1
"CDC20",1
"ELOVL1",1
"MED8",1
"ST3GAL3",1
"DPH2",1
"ATP6V0B",1
"SLC6A9",1
"KLF17",1
"TMEM53",1
"PLK3",1
"EIF2B3",1
"UROD",1
"TESK2",1
"CCDC163",1
"MMACHC",1
"MAST2",1
"POMGNT1",1
"UQCRH",1
"STIL",1
"NRDC",1
"TXNDC12",1
"GPX7",1
"CZIB",1
"LRP8",1
"TCEANC2",1
"TTC4",1
"MYSM1",1
"JUN",1
"USP1",1
"ATG4C",1
"ITGB3BP",1
"CACHD1",1
"PDE4B",1
"CTH",1
"ZRANB2",1
"TYW3",1
"ST6GALNAC3",1
"PTGFR",1
"IFI44L",1
"CTBS",1
"MCOLN2",1
"BCL10",1
"LMO4",1
"KYAT3",1
"GBP5",1
"LRRC8C",1
"CDC7",1
"GFI1",1
"EVI5",1
"DNTTIP2",1
"GCLM",1
"SNX7",1
"SASS6",1
"RTCA",1
"EXTL2",1
"DPH5",1
"AMY2B",1
"VAV3",1
"FAM102B",1
"SARS1",1
"RBM15",1
"LRIF1",1
"WDR77",1
"PTPN22",1
"AP4B1",1
"ATP1A1",1
"CD58",1
"TRIM45",1
"TENT5C",1
"GDAP2",1
"PHGDH",1
"SEC22B",1
"FAM72B",1
"H3-2",1
"FAM72C",1
"NBPF15",1
"SRGAP2B",1
"FAM72D",1
"NBPF20",1
"GPR89A",1
"ACP6",1
"NUDT4B",1
"PRPF3",1
"MCL1",1
"CTSS",1
"CTSK",1
"CERS2",1
"C1orf56",1
"MRPL9",1
"LCE3D",1
"LCE1F",1
"S100A13",1
"C1orf43",1
"HAX1",1
"CKS1B",1
"FLAD1",1
"FAM189B",1
"DAP3",1
"KHDC4",1
"ARHGEF2",1
"SSR2",1
"CCT3",1
"NES",1
"RRNAD1",1
"MRPL24",1
"CFAP45",1
"PEX19",1
"TSTD1",1
"USF1",1
"PFDN2",1
"NIT1",1
"USP21",1
"HSPA6",1
"FCRLB",1
"C1orf226",1
"UAP1",1
"DDR2",1
"NUF2",1
"FAM78B",1
"GPR161",1
"BLZF1",1
"CCDC181",1
"C1orf112",1
"GORAB",1
"DARS2",1
"COP1",1
"PAPPA2",1
"TOR3A",1
"RGS16",1
"NPL",1
"NMNAT2",1
"TSEN15",1
"EDEM3",1
"TRMT1L",1
"HMCN1",1
"RPS27AP5",1
"RGS2",1
"UCHL5",1
"GLRX2",1
"ZNF281",1
"DDX59",1
"TMEM9",1
"UBE2T",1
"ADIPOR1",1
"SLC45A3",1
"FAM72A",1
"SRGAP2",1
"DYRK3",1
"CD46",1
"PLXNA2",1
"CAMK1G",1
"LAMB3",1
"G0S2",1
"HSD11B1",1
"LPGAT1",1
"INTS7",1
"DTL",1
"PACC1",1
"ANGEL2",1
"PTPN14",1
"KCNK2",1
"ESRRG",1
"GPATCH2",1
"DUSP10",1
"AIDA",1
"CAPN2",1
"FBXO28",1
"DEGS1",1
"CNIH3",1
"DNAH14",1
"LIN9",1
"ITPKB",1
"CDC42BPA",1
"ZNF678",1
"ARF1",1
"H2AW",1
"TTC13",1
"FAM89A",1
"KCNK1",1
"COA6",1
"IRF2BP2",1
"ACTN2",1
"RYR2",1
"FMN2",1
"CEP170",1
"SDCCAG8",1
"DESI2",1
"NLRP3",1
"TRAPPC12",1
"RNASEH1",1
"RRM2",1
"HPCAL1",1
"ODC1",1
"NOL10",1
"E2F6",1
"TRIB2",1
"KCNS3",1
"TTC32",1
"MATN3",1
"SDC1",1
"PUM2",1
"SF3B6",1
"ASXL2",1
"KCNK3",1
"SLC5A6",1
"ATRAID",1
"EIF2B4",1
"CLIP4",1
"EHD3",1
"SLC30A6",1
"LTBP1",1
"FAM98A",1
"FEZ2",1
"GPATCH11",1
"CEBPZ",1
"PRKD3",1
"ATL2",1
"THUMPD2",1
"SLC8A1",1
"KCNG3",1
"PRKCE",1
"PIGF",1
"MCFD2",1
"CALM2",1
"MSH2",1
"KCNK12",1
"MSH6",1
"FOXN2",1
"ERLEC1",1
"EML6",1
"RTN4",1
"MTIF2",1
"CCDC88A",1
"CFAP36",1
"PNPT1",1
"KIAA1841",1
"CCT4",1
"PELI1",1
"SLC1A4",1
"SPRED2",1
"WDR92",1
"PNO1",1
"PPP3R1",1
"CNRIP1",1
"FBXO48",1
"AAK1",1
"GMCL1",1
"MXD1",1
"SNRPG",1
"AC007040.2",1
"MPHOSPH10",1
"SMYD5",1
"CCT7",1
"ACTG2",1
"DGUOK",1
"BOLA3",1
"MOB1A",1
"MTHFD2",1
"C2orf81",1
"PCGF1",1
"AUP1",1
"GCFC2",1
"TRABD2A",1
"ELMOD3",1
"USP39",1
"INPP4A",1
"UNC50",1
"MGAT4A",1
"MRPL30",1
