"","x"
"SAMD11",1
"PUSL1",1
"PANK4",1
"ICMT",1
"ACOT7",1
"SLC25A33",1
"MAD2L2",1
"MIIP",1
"PITHD1",1
"AUNIP",1
"PDIK1L",1
"CEP85",1
"UBXN11",1
"EYA3",1
"SRSF4",1
"SNRNP40",1
"IQCC",1
"YARS1",1
"CLSPN",1
"C1orf122",1
"CTPS1",1
"MED8",1
"SLC6A9",1
"KLF17",1
"KIF2C",1
"EIF2B3",1
"TESK2",1
"CCDC163",1
"MAST2",1
"RAD54L",1
"STIL",1
"TXNDC12",1
"ORC1",1
"CZIB",1
"MAGOH",1
"LRP8",1
"USP1",1
"ATG4C",1
"ITGB3BP",1
"CTH",1
"ST6GALNAC3",1
"RPF1",1
"MCOLN3",1
"CDC7",1
"GLMN",1
"GCLM",1
"SNX7",1
"SASS6",1
"EXTL2",1
"FAM102B",1
"SARS1",1
"RBM15",1
"DCLRE1B",1
"TRIM45",1
"ZNF697",1
"PHGDH",1
"FAM72D",1
"NUDT4B",1
"NBPF9",1
"ENSA",1
"CHTOP",1
"ILF2",1
"HAX1",1
"PYGO2",1
"CKS1B",1
"ARHGEF2",1
"RRNAD1",1
"TSTD1",1
"DUSP12",1
"C1orf226",1
"DDR2",1
"NUF2",1
"FAM78B",1
"GPR161",1
"COP1",1
"PAPPA2",1
"TOR3A",1
"TSEN15",1
"HMCN1",1
"KIF21B",1
"UBE2T",1
"LPGAT1",1
"INTS7",1
"DTL",1
"PACC1",1
"GPATCH2",1
"DUSP10",1
"TAF1A",1
"CNIH4",1
"DNAH14",1
"PYCR2",1
"LIN9",1
"CDC42BPA",1
"TRIM11",1
"TTC13",1
"COA6",1
"RRM2",1
"KCNS3",1
"MATN3",1
"CENPO",1
"CLIP4",1
"LTBP1",1
"GPATCH11",1
"PRKD3",1
"ATL2",1
"SLC8A1",1
"MSH2",1
"KCNK12",1
"CHAC2",1
"RTN4",1
"CCDC88A",1
"CFAP36",1
"KIAA1841",1
"PELI1",1
"SLC1A4",1
"WDR92",1
"PPP3R1",1
"FBXO48",1
"GMCL1",1
"SMYD5",1
"TPRKB",1
"BOLA3",1
"MTHFD2",1
"CCDC142",1
"ELMOD3",1
"MAT2A",1
