"","ARPE19","T53D4","RasV12","MekDD","Aktmyr"
"AURKB",10.1734841344181,10.8311366447659,10.9502442804876,10.7225475845685,10.412120919835
"SKA1",9.15324197868809,9.71276222978685,10.0853728220901,9.75262819231299,9.48480139276407
"SKA3",9.62100863761584,10.0972050723682,10.480631755341,10.0910044207909,9.69852224118809
"SGO1",9.19542812969069,9.58990991032679,9.88848334712941,9.57192039125666,9.60994879972118
"PPP2R5B",9.64542989963999,9.3224164327295,9.22817439878333,9.16929627484,10.031078097473
"PPP2R5D",10.2053170398932,10.260022781396,10.2615742884964,10.1377606984247,10.43625642845
"PPP1CC",12.7944604325529,12.7005691754266,12.8457732656614,12.8871721181246,12.5278825099635
"PPP1CB",13.3522341657273,13.3924768329501,12.7304156961927,13.2922430315022,13.5318246347914
"NUF2",10.6060538572947,10.9970702705589,11.2254856413881,11.2776846439697,10.716445127383
"SPC24",10.2681168712013,10.9309058153347,10.9205658397998,10.8266900103989,10.9194661917205
